City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
ushuaia,AR,47.86,66,75,25.32,-54.8,-68.3,1643564796
puerto ayora,EC,82.36,71,100,8.81,-0.7393,-90.3518,1643564797
bluff,NZ,58.8,92,87,3.58,-46.6,168.3333,1643564798
ahuimanu,US,73.45,71,75,1.01,21.4447,-157.8378,1643564800
ahipara,NZ,60.84,91,100,7.87,-35.1667,173.1667,1643564801
hermanus,ZA,73.8,71,40,17.34,-34.4187,19.2345,1643564784
souillac,MU,80.98,78,75,14.97,-20.5167,57.5167,1643564804
hilo,US,66.79,73,40,3.44,19.7297,-155.09,1643564667
namibe,AO,73.35,73,98,8.14,-15.1961,12.1522,1643564806
carnarvon,AU,80.67,74,13,14.97,-24.8667,113.6333,1643564807
punta arenas,CL,51.91,46,75,28.77,-53.15,-70.9167,1643564782
kirakira,SB,80.46,83,100,4.27,-10.4544,161.9205,1643564810
husavik,IS,28.31,70,74,27.49,66.0449,-17.3389,1643564811
kapaa,US,71.92,74,20,1.01,22.0752,-159.319,1643564812
lompoc,US,70.12,52,0,8.99,34.6391,-120.4579,1643564814
bredasdorp,ZA,73.27,73,20,16.11,-34.5322,20.0403,1643564815
albany,US,21.15,36,42,8.99,42.6001,-73.9662,1643564412
vaini,TO,80.47,76,100,11.72,-21.2,-175.2,1643564818
saskylakh,RU,-19.21,100,100,2.86,71.9167,114.0833,1643564820
faya,SA,55.92,80,10,5.5,18.3851,42.4509,1643564821
yumen,CN,16.0,44,100,7.76,40.2833,97.2,1643564823
hervey bay,AU,72.03,86,82,8.23,-25.2986,152.8535,1643564825
kudahuvadhoo,MV,82.11,73,79,12.35,2.6708,72.8944,1643564826
kodiak,US,24.31,74,75,10.36,57.79,-152.4072,1643564827
tutoia,BR,89.58,64,99,11.16,-2.7619,-42.2744,1643564631
chicama,PE,68.54,58,99,11.1,-7.8447,-79.1469,1643564830
khatanga,RU,-8.3,98,98,9.75,71.9667,102.5,1643564831
aklavik,CA,1.4,78,75,4.61,68.2191,-135.0107,1643564786
gorin,RU,-13.86,100,97,3.06,51.1983,136.6669,1643564834
guerrero negro,MX,64.42,56,69,11.32,27.9769,-114.0611,1643564628
rikitea,PF,76.17,61,59,4.29,-23.1203,-134.9692,1643564836
cape town,ZA,73.11,70,0,1.99,-33.9258,18.4232,1643564837
san cristobal,VE,68.18,40,88,4.97,7.7669,-72.225,1643564626
lavrentiya,RU,-4.76,88,4,5.12,65.5833,-171.0,1643564766
carutapera,BR,75.81,92,94,6.69,-1.195,-46.02,1643564842
bacuyangan,PH,77.63,81,80,2.33,9.637,122.4721,1643564843
east london,ZA,76.14,83,0,14.97,-33.0153,27.9116,1643564845
anadyr,RU,-17.9,75,75,1.99,64.75,177.4833,1643564675
novosergiyevka,RU,29.62,96,100,14.88,52.0934,53.6528,1643564847
constitucion,CL,70.86,58,2,18.28,-35.3333,-72.4167,1643564849
busselton,AU,64.04,78,3,18.39,-33.65,115.3333,1643564850
sioux lookout,CA,-0.02,78,100,2.3,50.1001,-91.917,1643564851
saldanha,ZA,86.05,87,62,18.03,-33.0117,17.9442,1643564854
salcedo,PH,75.9,89,19,7.52,12.8105,121.4674,1643564855
new norfolk,AU,57.65,76,3,1.99,-42.7826,147.0587,1643564857
boyolangu,ID,75.49,92,100,1.41,-8.1181,111.8935,1643564858
oranjemund,NA,68.02,80,37,3.44,-28.55,16.4333,1643564860
kavieng,PG,80.94,75,88,1.79,-2.5744,150.7967,1643564862
hithadhoo,MV,81.97,69,100,8.43,-0.6,73.0833,1643564864
sechura,PE,80.46,57,90,8.12,-5.5569,-80.8222,1643564865
vila velha,BR,87.75,62,40,13.8,-20.3297,-40.2925,1643564866
jamestown,US,19.71,43,80,5.99,42.097,-79.2353,1643564672
arraial do cabo,BR,87.76,62,40,4.61,-22.9661,-42.0278,1643564587
comodoro rivadavia,AR,62.46,20,40,17.27,-45.8667,-67.5,1643564700
zabid,YE,77.92,61,7,10.63,14.1951,43.3152,1643564871
chuy,UY,79.32,54,98,12.62,-33.6971,-53.4616,1643564872
bengkulu,ID,75.9,93,100,4.97,-3.8004,102.2655,1643564876
mount gambier,AU,62.51,94,100,6.91,-37.8333,140.7667,1643564877
kjollefjord,NO,32.05,64,75,23.02,70.9457,27.3465,1643564878
hatillo,PR,86.07,63,0,1.01,18.4863,-66.8254,1643564786
lagoa,PT,57.78,66,66,22.37,39.05,-27.9833,1643564881
segezha,RU,14.76,95,100,4.85,63.7415,34.3222,1643564883
mount isa,AU,74.97,100,75,8.05,-20.7333,139.5,1643564884
bandarbeyla,SO,76.05,73,56,15.95,9.4942,50.8122,1643564886
karratha,AU,83.5,60,49,22.24,-20.7377,116.8463,1643564887
leningradskiy,RU,-8.9,93,100,0.51,69.3833,178.4167,1643564627
acari,PE,81.63,51,81,12.66,-15.4311,-74.6158,1643564891
moanda,GA,80.83,59,90,2.17,-1.5575,13.2178,1643564892
esperance,AU,69.64,65,60,10.38,-33.8667,121.9,1643564893
avarua,CK,78.85,89,75,12.66,-21.2078,-159.775,1643564895
saint-philippe,RE,80.19,79,60,10.74,-21.3585,55.7679,1643564896
port alfred,ZA,74.97,86,89,21.14,-33.5906,26.891,1643564898
sambava,MG,79.16,86,86,13.69,-14.2667,50.1667,1643564899
manoel urbano,BR,83.88,68,100,3.4,-8.8389,-69.2597,1643564900
hasaki,JP,34.2,49,96,13.98,35.7333,140.8333,1643564902
kahului,US,74.84,75,20,3.44,20.8947,-156.47,1643564903
chokurdakh,RU,-29.83,89,33,1.07,70.6333,147.9167,1643564904
hobart,AU,58.01,90,2,1.99,-42.8794,147.3294,1643564906
atuona,PF,77.22,79,10,13.2,-9.8,-139.0333,1643564900
rabo de peixe,PT,59.27,92,40,19.57,37.8,-25.5833,1643564908
mar del plata,AR,86.02,56,0,23.0,-38.0023,-57.5575,1643564909
alice springs,AU,71.15,100,100,10.36,-23.7,133.8833,1643564911
butaritari,KI,81.75,77,64,21.74,3.0707,172.7902,1643564889
naze,JP,52.81,69,97,18.9,28.3667,129.4833,1643564914
datong,CN,13.35,47,4,12.28,40.0936,113.2914,1643564686
batagay,RU,-34.06,99,41,2.57,67.6333,134.6333,1643564917
broome,US,21.02,64,75,3.0,42.2506,-75.833,1643564919
povoa de lanhoso,PT,57.72,55,2,2.71,41.5787,-8.282,1643564921
cabo san lucas,MX,76.6,69,62,3.0,22.8909,-109.9124,1643564821
brookings,US,16.25,84,40,4.61,44.3114,-96.7984,1643564641
hofn,IS,27.46,49,67,22.66,64.2539,-15.2082,1643564926
lebu,CL,63.14,66,55,16.91,-37.6167,-73.65,1643564760
vestmanna,FO,32.92,93,75,6.91,62.1564,-7.1664,1643564928
mataura,NZ,58.48,99,45,1.9,-46.1927,168.8643,1643564860
kavaratti,IN,81.37,71,42,9.55,10.5669,72.642,1643564931
iqaluit,CA,-9.67,64,75,3.44,63.7506,-68.5145,1643564693
yellowknife,CA,-14.28,76,100,10.36,62.456,-114.3525,1643564934
frontera,MX,60.33,43,1,1.99,26.9333,-101.45,1643564935
opuwo,NA,74.17,36,71,17.16,-18.0607,13.84,1643564936
port blair,IN,73.44,83,20,1.14,11.6667,92.75,1643564938
cloquet,US,20.37,70,76,5.75,46.7216,-92.4594,1643564939
suntar,RU,-17.1,99,55,3.89,62.1444,117.6319,1643564921
kungurtug,RU,-21.68,98,49,1.72,50.5994,97.5228,1643564783
yuanping,CN,20.08,35,0,15.35,38.7153,112.7575,1643564942
anajatuba,BR,82.33,75,73,4.83,-3.2644,-44.6197,1643564944
baykit,RU,-11.31,100,94,1.14,61.67,96.37,1643564945
trat,TH,84.97,93,23,2.08,12.5,102.5,1643564782
chebarkul,RU,2.1,96,87,3.36,54.9749,60.3633,1643564947
chulym,RU,9.66,96,38,8.63,55.0997,80.9572,1643564949
tilichiki,RU,24.22,80,96,17.27,60.4667,166.1,1643564950
heide,DE,41.25,73,27,14.94,54.2,9.1,1643564951
norman wells,CA,-34.56,61,75,0.0,65.282,-126.8329,1643564953
karakol,KG,14.81,67,73,7.52,42.4907,78.3936,1643564954
lucea,JM,73.26,73,88,17.02,18.451,-78.1736,1643564955
morondava,MG,83.39,73,7,16.51,-20.2833,44.2833,1643564957
teknaf,BD,58.48,68,0,9.8,20.8624,92.3058,1643564958
los llanos de aridane,ES,64.15,81,20,3.0,28.6585,-17.9182,1643564959
san juan sacatepequez,GT,64.04,49,0,18.41,14.7189,-90.6442,1643564961
thompson,CA,1.56,78,100,2.3,55.7435,-97.8558,1643564767
dikson,RU,-1.12,92,100,21.39,73.5069,80.5464,1643564963
meadow lake,US,47.68,39,100,2.89,34.8014,-106.5436,1643564965
saint anthony,US,19.94,69,0,1.01,45.0205,-93.218,1643564968
thinadhoo,MV,82.02,73,100,10.71,0.5333,72.9333,1643564969
nanortalik,GL,18.1,67,100,10.74,60.1432,-45.2371,1643564971
axim,GH,82.09,70,69,9.01,4.8699,-2.2405,1643564973
bage,BR,82.18,51,20,9.22,-31.3314,-54.1069,1643564691
port hardy,CA,39.76,100,100,4.61,50.6996,-127.4199,1643564975
pipri,IN,67.15,26,0,4.83,19.8,75.5333,1643564977
ratnagiri,IN,72.73,66,0,7.0,16.9833,73.3,1643564978
hobyo,SO,77.47,74,94,16.93,5.3505,48.5268,1643564980
le havre,FR,47.1,87,100,2.3,49.4938,0.1077,1643564981
la rioja,ES,47.32,54,0,4.61,42.25,-2.5,1643564982
diamantino,BR,75.6,90,100,9.1,-14.4086,-56.4461,1643564984
samarai,PG,80.62,79,100,10.22,-10.6167,150.6667,1643564925
barrow,US,-11.18,77,40,10.36,71.2906,-156.7887,1643564806
emba,KZ,20.82,92,99,11.41,48.8264,58.1442,1643564988
nishihara,JP,58.28,63,75,26.46,26.1842,127.7558,1643564990
upernavik,GL,-3.01,71,100,9.6,72.7868,-56.1549,1643564992
jiwani,PK,72.72,75,0,17.27,25.05,61.7417,1643564994
khorixas,NA,70.12,57,72,19.46,-20.3667,14.9667,1643564996
matara,LK,76.95,91,34,7.27,5.9485,80.5353,1643564997
bethel,US,24.49,49,0,3.0,41.3712,-73.414,1643564811
kruisfontein,ZA,73.89,82,82,14.38,-34.0033,24.7314,1643564999
dingle,PH,75.42,92,78,2.51,10.9995,122.6711,1643565001
westerland,DE,41.18,60,40,24.16,54.9079,8.3033,1643565002
fortuna,US,48.65,97,100,6.91,40.5982,-124.1573,1643565003
yangambi,CD,78.33,34,70,2.04,0.8102,24.4336,1643565005
morki,RU,6.49,100,93,2.59,56.4303,48.9947,1643565006
ambanja,MG,77.0,90,40,1.57,-13.6833,48.45,1643565007
altamont,US,34.79,70,0,0.0,42.2068,-121.7372,1643565009
merauke,ID,77.68,84,100,3.65,-8.4667,140.3333,1643565010
hauterive,FR,44.38,91,38,1.34,46.0901,3.4459,1643565011
longyearbyen,SJ,8.44,66,0,18.41,78.2186,15.6401,1643565014
kaseda,JP,39.85,60,76,19.48,31.4167,130.3167,1643565015
udachnyy,RU,-29.24,100,36,2.66,66.4167,112.4,1643564922
fort nelson,CA,-0.81,78,100,5.75,58.8053,-122.7002,1643565018
chardara,KZ,35.83,58,46,11.27,41.2547,67.9692,1643565019
castro,BR,64.58,98,100,5.5,-24.7911,-50.0119,1643564952
pontes e lacerda,BR,77.86,91,96,6.17,-15.2261,-59.3353,1643564971
sita buzaului,RO,34.92,96,95,15.86,45.65,26.0667,1643565023
elban,RU,-23.35,100,68,2.06,50.1018,136.5094,1643565025
yerbogachen,RU,-9.42,100,98,2.84,61.2767,108.0108,1643564980
arlit,NE,70.86,13,3,22.37,18.7369,7.3853,1643565027
iroquois falls,CA,3.34,83,100,7.81,48.7669,-80.6831,1643565028
hanyang,CN,37.06,79,100,3.89,32.1371,105.5126,1643565030
geraldton,AU,72.01,88,100,17.27,-28.7667,114.6,1643565031
cibitung,ID,72.7,95,100,0.65,-7.119,107.1309,1643565032
barranca,PE,74.03,71,100,10.0,-10.75,-77.7667,1643565034
vardo,NO,26.58,80,75,17.27,70.3705,31.1107,1643565035
akyab,MM,62.98,59,0,13.76,20.15,92.9,1643565036
atar,MR,89.22,8,100,7.96,20.5169,-13.0499,1643565038
tiksi,RU,-17.25,100,82,4.14,71.6872,128.8694,1643565039
bereda,ES,49.75,84,3,3.24,43.2686,-7.5406,1643565040
nemuro,JP,16.38,67,28,14.92,43.3236,145.575,1643565043
mangan,IN,51.06,69,91,2.91,27.5167,88.5333,1643565044
qaanaaq,GL,-7.49,71,100,11.43,77.484,-69.3632,1643565047
alcaniz,ES,52.43,43,0,3.65,41.05,-0.1333,1643565048
pisco,PE,74.01,73,0,10.36,-13.7,-76.2167,1643565049
baijiantan,CN,4.95,94,94,2.04,45.6333,85.1833,1643564799
kysyl-syr,RU,-24.36,100,99,3.67,63.8986,122.7617,1643565052
contai,IN,65.26,51,0,4.27,21.7786,87.7536,1643565053
avera,US,54.45,32,0,16.02,33.194,-82.5271,1643565054
cherskiy,RU,-24.0,97,88,4.74,68.75,161.3,1643565056
byron bay,AU,72.72,89,89,7.09,-28.65,153.6167,1643565057
champerico,GT,91.35,60,5,7.54,14.3,-91.9167,1643565058
ancud,CL,65.43,56,39,11.43,-41.8697,-73.8203,1643565060
mahebourg,MU,80.89,78,75,14.97,-20.4081,57.7,1643565061
san patricio,US,69.89,48,0,11.45,28.017,-97.5169,1643565062
tura,IN,52.97,57,7,3.36,25.5198,90.2201,1643565064
genc,TR,25.79,96,100,2.95,38.7507,40.5603,1643565066
elk city,US,55.62,21,0,0.0,35.412,-99.4043,1643564904
klaksvik,FO,34.72,82,100,15.93,62.2266,-6.589,1643565068
najran,SA,66.85,25,9,3.91,17.4924,44.1277,1643564989
tiruvallur,IN,78.62,86,49,3.6,13.15,79.9167,1643565071
sawakin,SD,71.15,64,26,10.0,19.1059,37.3321,1643565072
nabire,ID,74.57,88,98,1.86,-3.3667,135.4833,1643565074
tuktoyaktuk,CA,-2.2,78,100,18.41,69.4541,-133.0374,1643565075
orleans,US,65.1,47,0,13.8,30.0335,-89.9501,1643565076
gwembe,ZM,63.54,98,100,2.95,-16.4975,27.6069,1643565078
caravelas,BR,86.79,62,77,12.48,-17.7125,-39.2481,1643565079
harper,LR,82.47,75,70,9.42,4.375,-7.7169,1643565080
pangai,TO,80.26,77,100,5.79,-19.8,-174.35,1643565082
san francisco,US,58.51,85,20,1.01,37.7749,-122.4194,1643564525
laguna,US,59.09,73,0,1.99,38.421,-121.4238,1643565084
berlevag,NO,32.0,78,97,21.39,70.8578,29.0864,1643565085
halifax,CA,26.01,68,96,13.0,44.6453,-63.5724,1643564936
boyuibe,BO,87.71,26,5,7.25,-20.4167,-63.2833,1643565088
georgetown,MY,82.89,90,20,0.0,5.4112,100.3354,1643565089
trinidad,BO,85.98,70,75,5.75,-14.8333,-64.9,1643565091
villa carlos paz,AR,88.05,10,0,3.0,-31.4241,-64.4978,1643564842
mujiayingzi,CN,18.77,62,92,0.49,42.1167,118.7833,1643565093
merke,KZ,30.6,64,16,3.2,42.8728,73.1786,1643565094
poum,NC,79.7,79,99,7.94,-20.2333,164.0167,1643565096
zaranj,AF,53.56,41,4,7.61,30.9667,61.8833,1643565097
sitka,US,35.49,80,100,11.5,57.0531,-135.33,1643565098
port keats,AU,80.85,80,58,21.09,-14.25,129.55,1643565100
pathein,MM,65.68,75,25,8.3,16.7833,94.7333,1643565101
port lincoln,AU,66.16,84,1,10.69,-34.7333,135.8667,1643565102
hornepayne,CA,2.37,83,100,5.08,49.2138,-84.7705,1643565104
alofi,NU,73.29,94,95,2.3,-19.0595,-169.9187,1643565105
vestmannaeyjar,IS,29.39,64,40,34.52,63.4427,-20.2734,1643565106
ostrovnoy,RU,2.64,97,91,8.1,68.0531,39.5131,1643565108
abha,SA,55.65,72,0,3.44,18.2164,42.5053,1643565109
mazyr,BY,32.34,93,99,10.22,52.0495,29.2456,1643565110
coquimbo,CL,69.53,60,0,14.97,-29.9533,-71.3436,1643565112
sucre,BO,66.85,50,82,8.5,-19.0333,-65.2627,1643565113
margate,GB,43.7,76,93,4.0,51.3813,1.3862,1643565114
rapid valley,US,54.63,20,0,5.01,44.0625,-103.1463,1643565116
nizwa,OM,71.47,33,0,0.27,22.9333,57.5333,1643565063
ponta do sol,PT,68.0,39,0,7.63,32.6667,-17.1,1643565118
khani,GE,31.57,87,98,4.29,41.9563,42.9566,1643565119
saint george,US,50.47,31,15,1.99,37.1041,-113.5841,1643565061
cap malheureux,MU,81.09,73,40,3.0,-19.9842,57.6142,1643564833
nikolskoye,RU,30.7,96,100,7.47,59.7035,30.7861,1643565123
mahibadhoo,MV,82.42,74,100,12.93,3.7833,72.9667,1643565124
grand-santi,GF,85.78,57,87,4.27,4.25,-54.3833,1643565126
vao,NC,79.18,87,99,10.36,-22.6667,167.4833,1643565127
bauchi,NG,71.62,15,97,6.6,10.5,10.0,1643565128
tual,ID,83.66,75,100,17.67,-5.6667,132.75,1643565130
victoria,HK,60.33,75,52,1.99,22.2855,114.1577,1643565051
bam,IR,50.99,29,0,0.63,29.106,58.357,1643565132
port elizabeth,ZA,76.1,83,20,18.41,-33.918,25.5701,1643565006
yar-sale,RU,-1.68,96,100,7.92,66.8333,70.8333,1643565134
petropavlovsk-kamchatskiy,RU,12.79,92,0,8.95,53.0452,158.6483,1643565136
pontianak,ID,75.18,100,100,0.0,-0.0333,109.3333,1643565137
tuatapere,NZ,58.82,95,49,2.48,-46.1333,167.6833,1643565140
kodinsk,RU,-10.03,100,96,0.94,58.6881,99.1844,1643565141
ozernovskiy,RU,23.56,94,100,3.51,51.5,156.5167,1643565142
tucurui,BR,80.56,75,100,1.95,-3.7661,-49.6725,1643565144
santiago del estero,AR,95.13,22,0,5.53,-27.7951,-64.2615,1643565145
otjiwarongo,NA,67.6,82,100,13.47,-20.4637,16.6477,1643565146
korla,CN,23.4,59,39,2.28,41.7597,86.1469,1643565148
taoudenni,ML,79.9,13,91,14.36,22.6783,-3.9836,1643565149
oussouye,SN,96.98,46,75,16.04,12.485,-16.5469,1643565150
sarkikaraagac,TR,32.72,97,95,3.02,38.0794,31.3664,1643565152
camana,PE,74.1,64,50,9.24,-16.6228,-72.7111,1643565153
norwich,GB,43.21,72,0,3.0,52.6278,1.2983,1643565154
griffith,US,31.03,69,0,1.01,41.5284,-87.4237,1643564988
bouar,CF,73.17,19,91,6.11,5.934,15.596,1643565157
atambua,ID,74.5,89,99,5.06,-9.1061,124.8925,1643565158
fjerritslev,DK,38.93,67,87,12.41,57.0813,9.2664,1643565159
the valley,AI,84.06,69,20,13.8,18.217,-63.0578,1643565161
kansanshi,ZM,63.25,96,100,2.01,-12.0951,26.4273,1643565162
sao filipe,CV,71.82,70,100,15.59,14.8961,-24.4956,1643565086
haines junction,CA,10.35,61,98,12.66,60.7522,-137.5108,1643565164
ossora,RU,32.13,86,100,21.52,59.2353,163.0719,1643565166
mehamn,NO,32.18,64,75,23.02,71.0357,27.8492,1643565167
la orilla,MX,82.89,51,3,7.07,17.9833,-102.2333,1643565168
egvekinot,RU,0.14,62,52,8.01,66.3167,-179.1667,1643565172
komsomolskiy,UZ,33.22,86,100,4.61,40.4272,71.7189,1643565173
pompeu,BR,77.61,74,81,2.1,-19.2244,-44.9353,1643565175
newport,GB,48.07,85,93,15.95,51.5877,-2.9984,1643565176
castanos,MX,58.35,42,1,2.48,26.7833,-101.4167,1643565177
carmo do rio claro,BR,75.02,80,98,5.01,-20.9719,-46.1189,1643565179
leh,IN,10.15,84,100,1.72,34.1667,77.5833,1643564987
labuhan,ID,77.83,88,100,5.59,-6.8844,112.2051,1643565181
volcan,PA,77.11,40,21,2.08,8.7667,-82.6333,1643565182
bonfim,BR,96.98,28,52,8.9,3.0833,-59.95,1643565184
cururupu,BR,79.65,83,96,6.38,-1.8283,-44.8683,1643565185
